Company,Commitment,Target_Year,Years_Until_Target,Stated_Reduction_%,ML_Predicted_Reduction_%,Gap_%,Status,Projected_Emissions,Baseline_Emissions
BASF_Report_2024,"in addition, the activities of the net zero accelerator unit were integrated into existing divisions",2025,7,100.0,-9.070368698019895,109.07036869801989,❌ GAP,24615.15217933788,22568.138783402457
BASF_Report_2024,"by 2030, we want to reduce the specific co 2 emissions from the purchase of our raw materials (scope",2022,4,15.0,-5.183067827439937,20.183067827439938,❌ GAP,23737.860723936985,22568.138783402457
BASF_Report_2024,"c the activities of the net zero accelerator unit were transferred to existing units and divisions, ",2025,7,100.0,-9.070368698019895,109.07036869801989,❌ GAP,24615.15217933788,22568.138783402457
BASF_Report_2024,"the audit committee was also provided with details of significant impacts, 5 in accordance with the ",2025,7,100.0,-9.070368698019895,109.07036869801989,❌ GAP,24615.15217933788,22568.138783402457
BASF_Report_2024,"the board of executive directors and supervisory board dealt with the following significant impacts,",2030,12,100.0,-15.549203482319813,115.54920348231981,❌ GAP,26077.30460500604,22568.138783402457
BASF_Report_2024,"in addition, a net-zero scenario in the eu and the united states by 2050, and globally by 2060, was ",2050,32,100.0,-41.4645426195195,141.4645426195195,❌ GAP,31925.91430767868,22568.138783402457
BASF_Report_2024,we have also established guidelines and requirements for managing our emissions along the value chai,2050,32,100.0,-41.4645426195195,141.4645426195195,❌ GAP,31925.91430767868,22568.138783402457
BASF_Report_2024,"the net zero accelerator unit, which had focused on emissions reduction projects since 2022, was dis",2022,4,100.0,-5.183067827439937,105.18306782743994,❌ GAP,23737.860723936985,22568.138783402457
BASF_Report_2024,we want to reduce greenhouse gas emissions from our production processes (scope 1) and our energy pu,2030,12,100.0,-15.549203482319813,115.54920348231981,❌ GAP,26077.30460500604,22568.138783402457
BASF_Report_2024,"by 2030, we want to reduce these scope 3.1 emissions in relation to the purchasing volume specifical",2022,4,15.0,-5.183067827439937,20.183067827439938,❌ GAP,23737.860723936985,22568.138783402457
BASF_Report_2024,"9 based on the base year 2018 10 the iea’s net zero by 2050 study reflects a scenario that, measured",2050,32,100.0,-41.4645426195195,141.4645426195195,❌ GAP,31925.91430767868,22568.138783402457
BASF_Report_2024,basf report 2024 sustainability statement 194 at a glance combined management’s report consolidated ,2030,12,25.0,-15.549203482319813,40.54920348231981,❌ GAP,26077.30460500604,22568.138783402457
BASF_Report_2024,our long-term target is to achieve net-zero greenhouse gas emissions by 2050.23 we consider future d,2050,32,100.0,-41.4645426195195,141.4645426195195,❌ GAP,31925.91430767868,22568.138783402457
BASF_Report_2024,"carbon credits e1-7 as part of the above stated targets, we have committed to reducing our scope 1, ",2050,32,100.0,-41.4645426195195,141.4645426195195,❌ GAP,31925.91430767868,22568.138783402457
BASF_Report_2024,"trade with renewable energies as well as activities in the net zero accelerator unit, in which compa",2024,6,100.0,-7.774601741159914,107.77460174115991,❌ GAP,24322.72169420425,22568.138783402457
